song_name,singer,language
Bheegi Bheegi Raaton Mein,Kishore Kumar|Lata Mangeshkar,Hindi
Aap Ki Ankhon Mein Kuch,Kishore Kumar|Lata Mangeshkar,Hindi
Tum Aa Gaye Ho Noor Aa Gaya,Kishore Kumar|Lata Mangeshkar,Hindi
Hamen Tumse Pyar Kitna,Kishore Kumar,Hindi
Tere Bina Zindagi Se,Kishore Kumar|Lata Mangeshkar,Hindi
Kora Kagaz Tha Yeh Man Mera,Kishore Kumar|Lata Mangeshkar,Hindi
Lag Ja Gale Se Phir,Lata Mangeshkar,Hindi
Ae Mere Humsafar,Udit Narayan|Alka Yagnik,Hindi
Ek Ajnabee Haseena Se,Kishore Kumar,Hindi
Tere Mere Milan Ki Yeh Raina,Kishore Kumar|Lata Mangeshkar,Hindi
Are Jane Kaise Kab Kahan Iqrar,Kishore Kumar|Lata Mangeshkar,Hindi
Abhi Na Jao Chhod Kar,Asha Bhosle|Mohammed Rafi,Hindi
O Mere Dil Ke Chain,Kishore Kumar,Hindi
Tum Ko Dekha To Yeh Khayal Aaya,Chitra Singh|Jagjit Singh,Hindi
Chura Liya Hai Tumne Jo Dil Ko,Mohammed Rafi|Asha Bhosle,Hindi
Dekha Ek Khwaab,Lata Mangeshkar|Kishore Kumar,Hindi
Tere Chehre Se Nazar Nahin,Kishore Kumar|Lata Mangeshkar,Hindi
Yeh Sham Mastani,Kishore Kumar,Hindi
Hum Dono Do Premi,Kishore Kumar|Lata Mangeshkar,Hindi
Do Lafzon Ki Hai Dil Ki Kahani (Duet),Amitabh Bachchan|Asha Bhosle|Sharad Kumar,Hindi
Tere Bina Jiya Jaye Na,Lata Mangeshkar,Hindi
Teri Bindiya Re,Lata Mangeshkar|Mohammed Rafi,Hindi
Kehdoon Tumhen,Asha Bhosle|Kishore Kumar,Hindi
Pyar Diwana Hota Hai,Kishore Kumar,Hindi
Ankhon Men Humne Aapke Sapne (Duet),Kishore Kumar|Lata Mangeshkar,Hindi
Yeh Vaada Raha,Asha Bhosle|Kishore Kumar,Hindi
Dil Ka Bhanwar Kare Pukar,Mohammed Rafi,Hindi
Chingari Koi Bhadke,Kishore Kumar,Hindi
Jhuki Jhuki Si Nazar,Jagjit Singh,Hindi
Chhu Kar Mere Manko,Kishore Kumar,Hindi
Chand Mera Dil Chandni Ho Tum,Mohammed Rafi,Hindi
Kuchh To Log Kahenge,Kishore Kumar,Hindi
Mere Rang Mein Rangne Wali,S. P. Balasubrahmanyam,Hindi
Maine Tere Liye,Mukesh,Hindi
Chal Kahin Door Nikal Jayen,Kishore Kumar|Lata Mangeshkar|Mohammed Rafi,Hindi
Gaata Rahe Mera Dil,Kishore Kumar|Lata Mangeshkar,Hindi
Diwana Hua Badal,Asha Bhosle|Mohammed Rafi,Hindi
Chala Jata Hoon,Kishore Kumar,Hindi
Kanchi Re Kanchi Re,Kishore Kumar|Lata Mangeshkar,Hindi
Pyar Ka Dard Hai,Kishore Kumar|Asha Bhosle,Hindi
Ajib Dastan Hai Yeh,Lata Mangeshkar,Hindi
Panna Ki Tamanna Hai,Kishore Kumar|Lata Mangeshkar,Hindi
Chaudhvin Ka Chand Ho,Mohammed Rafi,Hindi
Rimjhim Gire Sawan,Kishore Kumar,Hindi
Gun Guna Rahe Hai Bhanvare,Asha Bhosle|Mohammed Rafi,Hindi
Saagar Jaisi Aankhonwali,Kishore Kumar,Hindi
Khoya Khoya Chand Khula Aasman,Mohammed Rafi,Hindi
Yeh Kahan Aa Gaye Hum,Lata Mangeshkar|Amitabh Bachchan,Hindi
Aise Na Mujhe,Kishore Kumar,Hindi
O Saathi Re (Male),Kishore Kumar,Hindi
Kya Hua Tera Vada,Mohammed Rafi|Sushma Shrestha,Hindi
Kabhi Kabhi Mere Dil Mein (Duet),Lata Mangeshkar|Mukesh,Hindi
Gazab Ka Hai Din,Udit Narayan|Alka Yagnik,Hindi
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,Hindi
Tune O Rangeele,Lata Mangeshkar,Hindi
Ek Pyar Ka Naghma Hai,Lata Mangeshkar|Mukesh,Hindi
Ab To Hai Tumse Har Khushi Apni,Lata Mangeshkar,Hindi
Bahon Mein Chale Aao,Lata Mangeshkar,Hindi
Kahin Door Jab Din Dhal Jaye,Mukesh,Hindi
Aaj Rapat Jaayen To,Asha Bhosle|Kishore Kumar,Hindi
Likhe Jo Khat Tujhe,Mohammed Rafi,Hindi
Aanewala Pal Janewala Hai,Kishore Kumar,Hindi
Aate Jate Khoobsurat Awara,Kishore Kumar,Hindi
Gum Hai Kisi Ke Pyar Mein,Kishore Kumar|Lata Mangeshkar,Hindi
