song_name,singer,language
Induvadana,S. P. Balasubrahmanyam|S. Janaki,Telugu
Manchu Kurise,S. P. Balasubrahmanyam|S. Janaki,Telugu
Yureka,S. P. Balasubrahmanyam|S. Janaki,Telugu
Keeravani,S. P. Balasubrahmanyam|S. Janaki,Telugu
Are Emaindhi,S. P. Balasubrahmanyam|S. Janaki,Telugu
Tella Cheeraku,S. P. Balasubrahmanyam|Lata Mangeshkar,Telugu
Guvva Gorinka Tho,S. P. Balasubrahmanyam|S. Janaki,Telugu
Kashmiri Loyalo,S. P. Balasubrahmanyam|S. Janaki,Telugu
Karigipoyanu,S. P. Balasubrahmanyam|P. Susheela,Telugu
Prema Entha,S. P. Balasubrahmanyam,Telugu
Banti Chamanti,S. P. Balasubrahmanyam|S. Janaki,Telugu
O Priya,K. S. Chithra|S. P. Balasubrahmanyam,Telugu
Suvvi Suvvi,S. P. Balasubrahmanyam|S. Janaki,Telugu
Premaledani,S. P. Balasubrahmanyam,Telugu
O Papa Lali,S. P. Balasubrahmanyam,Telugu
Ade Neevu,S. P. Balasubrahmanyam,Telugu
Sande Poddula,S. P. Balasubrahmanyam|S. Janaki,Telugu
Malli Malli,S. P. Balasubrahmanyam|S. Janaki,Telugu
Kokila,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Aamani,S. P. Balasubrahmanyam,Telugu
Paara Hushar,S. P. Balasubrahmanyam|S. Janaki,Telugu
Eduta Neeve,S. P. Balasubrahmanyam,Telugu
Theeganai Mallenai,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nammaku Nammaku,S P Balasubrahamanyam,Telugu
Vatapatra (Happy),P. Susheela,Telugu
Jivvumani Kondagali,Mano|S. Janaki,Telugu
Eenade Edo,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Andam Hindolam,S. P. Balasubrahmanyam|P. Susheela,Telugu
Om Namaha,S. P. Balasubrahmanyam|S. Janaki,Telugu
Ee Gaali Ee Vela,S. P. Balasubrahmanyam|P. Susheela,Telugu
Acha Acha,S. P. Balasubrahmanyam|S. Janaki,Telugu
Swathi Muthyapu,S. P. Balasubrahmanyam|S. Janaki,Telugu
Merupula La La,S. P. Balasubrahmanyam,Telugu
Thakita Thadhimi,S. P. Balasubrahmanyam,Telugu
Vanajallu Gillutunte,S. P. Balasubrahmanyam|S. Janaki,Telugu
Nannu Dochu Kunduvatey,Ghanatasala|P. Susheela,Telugu
Kottandi Thittandi,S. P. Balasubrahmanyam|K. S. Chithra,Telugu
Kurise Verijallule,S. P. Balasubrahmanyam|Vani Jairam,Telugu
Aadhi Bikshuvu,S. P. Balasubrahmanyam,Telugu
Jallantha,K. S. Chithra,Telugu
Prema Lekha,S. P. Balasubrahmanyam|S. Janaki,Telugu
Taralirada,S P Balasubrahamanyam,Telugu
